FountainType,the_geom,Location,Place,BoroCode,Availability,Latitude,Longitude
D,POINT (-73.78695443234021 40.59357651578834),Near Ballfield,Cardozo Playground,4,Active,40.59357652,-73.78695443
A,POINT (-73.75256898374609 40.59316727065457),Out in Open,Park,4,Active,40.59316727,-73.75256898
A,POINT (-73.78515798383742 40.70408174051565),Out in Open,Detective Keith L Williams Park,4,Active,40.70408174,-73.78515798
D,POINT (-74.21004088844651 40.51104797057387),Out in Open,Lemon Creek Park,5,Active,40.51104797,-74.21004089
E Wheelchair Child,POINT (-74.03059904970776 40.63990578177579),In Playground,Owl's Head Park,3,Active,40.63990578,-74.03059905
A,POINT (-73.91341359467432 40.84565309806237),"Under Tree, In Playground",Jennie Jerome Playground,2,Active,40.8456531,-73.91341359
A,POINT (-73.9574368436028 40.68946353035642),"Under Tree, In Playground",Lafayette Gardens Playground,3,Active,40.68946353,-73.95743684
E Wheelchair Dog,POINT (-73.99467572925765 40.70153941069172),"Under Tree, Out in Open",Hillside Park,3,Active,40.70153941,-73.99467573
A,POINT (-73.96606079017354 40.65179195321099),"Out in Open, Near Ballfield",Parade Ground,3,Active,40.65179195,-73.96606079
D,POINT (-73.92589302473411 40.77597765608585),Under Tree,Astoria Park,4,Active,40.77597766,-73.92589302
C,POINT (-73.85391291288138 40.837432063895335),In Playground,Caserta Playground,2,Active,40.83743206,-73.85391291
D,POINT (-73.9194741670989 40.62473018427933),"Out in Open, Just Outside Playground",Jacob Joffe Fields,3,Active,40.62473018,-73.91947417
C,POINT (-74.0134113863505 40.632307262937054),Near Ballfield,Quaker Parrot Park at the Dust Bowl,3,Active,40.63230726,-74.01341139
C,POINT (-73.89950284102038 40.62702748583225),"In Playground, Out in Open",Canarsie Park,3,Active,40.62702749,-73.89950284
A,POINT (-73.84234619437662 40.743530474062425),Under Tree,Flushing Meadows Corona Park,4,Active,40.74353047,-73.84234619
C,POINT (-73.83135839672026 40.58034880229802),Just Outside Playground,Seaside Playground,4,Active,40.5803488,-73.8313584
C,POINT (-74.16282228244748 40.53676170396106),Near Ballfield,Lieutenant John H. Martinson Playground,5,Active,40.5367617,-74.16282228
D,POINT (-74.06372448776075 40.59189137329648),Near Ballfield,Franklin D. Roosevelt Boardwalk and Beach,5,Active,40.59189137,-74.06372449
D,POINT (-73.88119633311628 40.84368313493293),"In Shade, Under Tree",Vidalia Park,2,Active,40.84368313,-73.88119633
A,POINT (-73.99981559996884 40.59707436740798),"Out in Open, In Playground",Bensonhurst Park,3,Active,40.59707437,-73.99981559999998
CS Concrete,POINT (-73.9252437326348 40.8316003315092),Out in Open,Mullaly Park,2,Active,40.83160033,-73.92524373
E Wheelchair,POINT (-73.9801436954374 40.638098724652146),"In Playground, Out in Open",Dome Playground,3,Active,40.63809872,-73.9801437
A,POINT (-73.89846251585689 40.70693405438454),Just Outside Playground,Benninger Playground,4,Active,40.70693405,-73.89846252
A,POINT (-73.77026264471104 40.73569714548336),"Out in Open, Near Ballfield",Cunningham Park,4,Active,40.73569715,-73.77026264
C,POINT (-73.72826332157173 40.75685959051599),In Playground,Challenge Playground,4,Active,40.75685959,-73.72826332
A,POINT (-73.93575637351492 40.82872162135801),"Under Tree, Near Ballfield, Just Outside Playground",Holcombe Rucker Park,1,Active,40.82872162,-73.93575637
E Wheelchair,POINT (-73.9530925518075 40.79355410736853),"Under Tree, In Shade",Central Park,1,Active,40.79355411,-73.95309255
C,POINT (-73.84300023012058 40.67018543251353),Near Ballfield,Vito Locascio Field,4,Active,40.67018543,-73.84300023
A,POINT (-73.97222691113014 40.57432444054695),"Out in Open, In Playground",Asser Levy Park,3,Active,40.57432444,-73.97222691
C,POINT (-73.93860565152782 40.81352528029497),"Just Outside Playground, Near Ballfield",Howard Bennett Playground,1,Active,40.81352528,-73.93860565
A,POINT (-73.95200116797007 40.71939444625526),"Under Tree, Near Ballfield",McCarren Park,3,Active,40.71939445,-73.95200117
E Wheelchair,POINT (-73.99886462544102 40.692148625124254),"Under Tree, Just Outside Playground",Adam Yauch Park,3,Active,40.69214863,-73.99886463
A,POINT (-73.95863978110792 40.75947181345192),Under Tree,Twenty-Four Sycamores Park,1,Active,40.75947181,-73.95863978
A,POINT (-73.77381274593155 40.67511773508673),Near Ballfield,Rochdale Park,4,Active,40.67511774,-73.77381275
E Wheelchair,POINT (-73.95843141177176 40.79307680579715),"Near Ballfield, Out in Open",Central Park,1,Active,40.79307681,-73.95843141
A,POINT (-73.8987132515359 40.61807228500694),"Out in Open, Near Ballfield",McGuire Fields,3,Active,40.61807229,-73.89871325
E Wheelchair,POINT (-73.95918103645948 40.784111207946815),Out in Open,Central Park,1,Active,40.78411121,-73.95918104
D,POINT (-73.90424431541744 40.90264680734225),,Vinmont Veteran Park,2,Active,40.90264681,-73.90424432
C,POINT (-73.92861154231673 40.700332815424275),Out in Open,Fermi Playground,3,Active,40.70033282,-73.92861154
A,POINT (-73.99555335323839 40.681174419597646),In Playground,Carroll Park,3,Active,40.68117442,-73.99555335
CS Concrete,POINT (-73.96355457149188 40.660497953505),Just Outside Playground,Prospect Park,3,Active,40.66049795,-73.96355457
C,POINT (-73.98070587907348 40.686740032473),"Under Tree, Out in Open, Just Outside Playground",Sixteen Sycamores Playground,3,Active,40.68674003,-73.98070588
C,POINT (-73.88320030172872 40.89198759485802),"Near Ballfield, Out in Open",Van Cortlandt Park,2,Active,40.89198759,-73.8832003
A,POINT (-73.90739973152178 40.83228284385006),"Out in Open, In Playground",Morgan Playground,2,Active,40.83228284,-73.90739973
A,POINT (-73.89899690401404 40.838494454853844),Out in Open,Crotona Park,2,Active,40.83849445,-73.8989969
A,POINT (-74.09252046958996 40.62741610039964),Out in Open,Silver Lake Park,5,Active,40.62741610000001,-74.09252047
E Wheelchair,POINT (-73.9621533864158 40.574930261349444),Out in Open,Coney Island Beach & Boardwalk,3,Active,40.57493026,-73.96215339
D,POINT (-73.80524255860324 40.73572696538993),"In Playground, Under Tree",Electric Playground,4,Active,40.73572697,-73.80524256
E Wheelchair Child,POINT (-73.99668910343165 40.73088598964069),In Playground,Washington Square Park,1,Active,40.73088599,-73.9966891
A,POINT (-73.7825657920862 40.74309381749023),Near Ballfield,Kissena Corridor Park,4,Active,40.74309382,-73.78256579
D,POINT (-74.00865809227588 40.67700672499324),In Playground,Coffey Park,3,Active,40.67700672,-74.00865809
A,POINT (-73.88719373886204 40.634553677855),"Under Tree, Out in Open, In Playground",Bayview Playground,3,Active,40.63455368,-73.88719374
A,POINT (-73.8824920280928 40.742264575435826),"Just Outside Playground, Under Tree",Moore Homestead Playground,4,Active,40.74226458,-73.88249203
F Dog,POINT (-73.92164121824358 40.74730071915061),Out in Open,Torsney Playground,4,Active,40.74730072,-73.92164122
D,POINT (-73.81704463194201 40.77497188877699),"Near Ballfield, Out in Open",Flushing Fields,4,Active,40.77497189,-73.81704463
C,POINT (-73.89392334984046 40.846016233462386),Under Tree,Tremont Park,2,Active,40.84601623,-73.89392335
E Wheelchair,POINT (-73.98333906612712 40.57265373738824),Out in Open,Coney Island Beach & Boardwalk,3,Active,40.57265374,-73.98333907
C,POINT (-73.88320112082361 40.718264172067364),In Playground,Juniper Valley Park,4,Active,40.71826417,-73.88320112
C,POINT (-73.74215428218523 40.6620977069826),In Playground,Brookville Park,4,Active,40.66209771,-73.74215428
C,POINT (-73.99425139764791 40.713259759079754),In Playground,Sophie Irene Loeb,1,Active,40.71325976,-73.99425140000002
A,POINT (-74.00537670956024 40.65596729647679),In Playground,D'Emic Playground,3,Active,40.65596729999999,-74.00537671
D,POINT (-73.98784095612812 40.66170623473981),Out in Open,Detective Joseph Mayrose Park,3,Active,40.66170623,-73.98784096
CS Concrete,POINT (-73.820373910701 40.718634035657885),In Playground,Judge Moses Weinstein Playground,4,Active,40.71863404,-73.82037391
A,POINT (-73.83927505531747 40.747725894361665),Under Tree,Flushing Meadows Corona Park,4,Active,40.74772589,-73.83927506
Pedestal,POINT (-73.91443747619401 40.79548622390551),Near Ballfield,Randall's Island Park,1,Active,40.79548622,-73.91443748
A,POINT (-73.93420395888847 40.60387148127828),Near Ballfield,Marine Park,3,Active,40.60387148,-73.93420396
Bottle Filler,POINT (-73.93549897014923 40.824787786506135),"Under Tree, Near Ballfield, In Shade",Frederick Johnson Playground,1,Active,40.82478779,-73.93549897
Bottle Filler Fountain,POINT (-74.00168652977908 40.692318551468915),Out in Open,Brooklyn Bridge Park,3,Active,40.69231855,-74.00168653
Other,POINT (-73.91400667439183 40.681827821217844),Out in Open,Marion Hopkinson Playground,3,Active,40.68182782,-73.91400667
C,POINT (-73.90526973377801 40.678293046286285),"Under Tree, In Shade",Callahan-Kelly Playground,3,Active,40.67829305,-73.90526973
A,POINT (-73.85523332263173 40.70080298072971),In Shade,Forest Park,4,Active,40.70080298,-73.85523332
A,POINT (-74.08306917888979 40.574093216136795),Near Ballfield,Franklin D. Roosevelt Boardwalk and Beach,5,Active,40.57409322,-74.08306918
C,POINT (-73.8545495391637 40.74744137677365),Just Outside Playground,Corona Golf Playground,4,Active,40.74744138,-73.85454954
E Wheelchair,POINT (-74.01989874893476 40.653330220625314),Near Ballfield,Bush Terminal Park,3,Active,40.65333022,-74.01989875
D,POINT (-73.99396037631828 40.768582684906896),Near Ballfield,De Witt Clinton Park,1,Active,40.76858268,-73.99396038
A,POINT (-73.78860569318076 40.870230109224295),Under Tree,Pelham Bay Park,2,Active,40.87023011,-73.78860569
C,POINT (-73.89329061933209 40.644547991283844),"Out in Open, In Playground",P.S. 279 Playground,3,Active,40.64454799,-73.89329062
Pedestal,POINT (-74.0164095473088 40.71741969309437),"Near Ballfield, Under Tree",Battery Park City,1,Active,40.71741969,-74.01640955
A,POINT (-73.981327748822 40.725656751385564),"Under Tree, In Playground",Tompkins Square Park,1,Active,40.72565675,-73.98132775
F High Low,POINT (-73.94161537042868 40.79701694826957),"Near Ballfield, Just Outside Playground",James Weldon Johnson Playground,1,Active,40.79701695,-73.94161537
E Wheelchair,POINT (-73.96517826266498 40.65106395603844),"Under Tree, In Shade, In Playground",Parade Ground,3,Active,40.65106396,-73.96517826
A,POINT (-73.85170018208451 40.72368126177484),"Out in Open, Just Outside Playground",Russell Sage Playground,4,Active,40.72368126,-73.85170018
E Wheelchair,POINT (-73.99116639480616 40.69776512240604),"Under Tree, Out in Open",Cadman Plaza Park,3,Active,40.69776512,-73.99116639
A,POINT (-73.99970383593894 40.71416289721295),"Under Tree, Near Ballfield, Just Outside Playground",Columbus Park,1,Active,40.7141629,-73.99970384
E Wheelchair Dog,POINT (-73.97287955185065 40.778044462932854),"Out in Open, Under Tree",Central Park,1,Active,40.77804446,-73.97287955
A,POINT (-73.94053148188146 40.59800492560918),In Playground,Herman Dolgon Playground,3,Active,40.59800493,-73.94053148
A,POINT (-74.01720884216012 40.625556916057924),Near Ballfield,McKinley Park,3,Active,40.62555692,-74.01720884
A,POINT (-73.74724556466188 40.741693456204764),Out in Open,Alley Pond Park,4,Active,40.74169346,-73.74724556
B,POINT (-73.97441557847947 40.76896836189551),"Under Tree, Out in Open",Central Park,1,Active,40.76896836,-73.97441558
C,POINT (-73.89495858679122 40.724591737632366),In Playground,Frontera Park,4,Active,40.72459174,-73.89495859
E Wheelchair Dog,POINT (-73.96785816038859 40.77362700072992),"Under Tree, In Shade",Central Park,1,Active,40.77362700000001,-73.96785816
A,POINT (-73.94244980335472 40.67913356769186),"Near Ballfield, In Playground",St. Andrew's Playground,3,Active,40.67913357,-73.9424498
Bottle Filler Fountain,POINT (-73.96985666573741 40.660802842827884),Out in Open,Prospect Park,3,Active,40.66080284,-73.96985667
C,POINT (-73.89475945815637 40.86455892236403),Out in Open,Poe Park,2,Active,40.86455892,-73.89475946
B,POINT (-73.84242563053512 40.75102406456306),Out in Open,Flushing Meadows Corona Park,4,Active,40.75102406,-73.84242563
A,POINT (-73.79441354558158 40.76591332588184),In Playground,Auburndale Playground,4,Active,40.76591333,-73.79441355
B,POINT (-73.8253086769887 40.748276330339856),"Under Tree, In Playground",Kissena Corridor Park,4,Active,40.74827633,-73.82530868
A,POINT (-73.98188995997576 40.727551751518895),"Under Tree, Near Ballfield, In Playground",Tompkins Square Park,1,Active,40.72755175,-73.98188996
CS Metal,POINT (-73.89256816532264 40.87524161950367),"In Shade, Just Outside Playground",Harris Park,2,Active,40.87524162,-73.89256817
A,POINT (-74.08120625905858 40.57536743992044),Near Ballfield,Franklin D. Roosevelt Boardwalk and Beach,5,Active,40.57536744,-74.08120626
D,POINT (-73.98906487850138 40.77769731469803),"Under Tree, In Playground",Riverside Park South,1,Active,40.77769731,-73.98906488
E High Low,POINT (-73.97386691167917 40.6608796734061),"Out in Open, Near Ballfield",Prospect Park,3,Active,40.66087967,-73.97386691
C,POINT (-73.90595383404712 40.66829433098465),Out in Open,Carter G. Woodson Children's Park,3,Active,40.66829433,-73.90595383
C,POINT (-73.95184854949669 40.69521200533061),"In Playground, Near Ballfield",Marcy Playground,3,Active,40.69521201,-73.95184855
C,POINT (-73.93141753425773 40.64773853156529),Out in Open,Tilden Playground,3,Active,40.64773853,-73.93141753
D,POINT (-73.85353302208321 40.68643663325074),Out in Open,London Planetree Playground,4,Active,40.68643663,-73.85353302
E Wheelchair,POINT (-73.96392369163094 40.77728948972205),Just Outside Playground,Central Park,1,Active,40.77728949,-73.96392369
C,POINT (-73.95217745712186 40.82034653883425),"Under Tree, In Playground, Near Ballfield",Jacob H. Schiff Playground,1,Active,40.82034654,-73.95217746
A,POINT (-73.99096809282025 40.72253630402943),"Under Tree, Near Ballfield, Just Outside Playground",Sara D. Roosevelt Park,1,Active,40.7225363,-73.99096809
E Wheelchair,POINT (-73.92293086972823 40.6805802473888),In Playground,Brevoort Playground,3,Active,40.68058025,-73.92293087
A,POINT (-73.94950650646992 40.702557704770214),Just Outside Playground,De Hostos Playground,3,Active,40.70255770000001,-73.94950651
D,POINT (-73.93761494843797 40.62024337954944),"Out in Open, In Playground",Sarsfield Playground,3,Active,40.62024338,-73.93761495
C,POINT (-73.92249031653624 40.741043785328344),"Under Tree, Just Outside Playground",L/CPL Thomas P. Noonan Jr. Playground,4,Active,40.74104379,-73.92249032
A,POINT (-73.99017409646348 40.583089778626004),"Out in Open, Near Ballfield",Coney Island Boat Basin,3,Active,40.58308978,-73.99017409999998
Pedestal,POINT (-73.92769779896418 40.78724582307755),Near Ballfield,Wards Island Park,1,Active,40.78724582,-73.9276978
A,POINT (-73.93980887290986 40.82788708016505),"In Playground, Under Tree",Jackie Robinson Park,1,Active,40.82788708,-73.93980887
CS Concrete,POINT (-73.94070857542522 40.66260362274128),In Playground,Hamilton Metz Field,3,Active,40.66260362,-73.94070858
Bottle Filler High Low,POINT (-73.97373106922485 40.664507495530906),Out in Open,Prospect Park,3,Active,40.6645075,-73.97373107
Other,POINT (-73.93307167212244 40.75770494255046),In Playground,Dutch Kills Playground,4,Active,40.75770494,-73.93307167
Trough,POINT (-73.81534082919515 40.58328052034629),Out in Open,Rockaway Beach Boardwalk,4,Active,40.58328052,-73.81534083
D,POINT (-73.84828014187919 40.726295161668645),"In Playground, Under Tree",Yellowstone Park,4,Active,40.72629516,-73.84828014
E Wheelchair,POINT (-73.96626192514252 40.7884223469948),In Playground,Central Park,1,Active,40.78842235,-73.96626193
A,POINT (-73.76999328626611 40.685762168870625),In Playground,Roy Wilkins Recreation Center,4,Active,40.68576217,-73.76999329
D,POINT (-73.89252646911197 40.8771176307026),"Near Ballfield, Out in Open",Harris Park,2,Active,40.87711763,-73.89252647
C,POINT (-73.77552123867663 40.730326237462215),"Near Ballfield, Out in Open",Cunningham Park,4,Active,40.73032624,-73.77552124
D,POINT (-73.85957052828608 40.72072489296795),"Under Tree, In Playground",The Painter's Playground,4,Active,40.72072489,-73.85957053
Other,POINT (-73.9467194315657 40.84983826465033),Out in Open,Fort Washington Park,1,Active,40.84983826,-73.94671943
C,POINT (-73.84813242072177 40.67132001457546),Near Ballfield,Tudor Park,4,Active,40.67132001,-73.84813242
E Wheelchair,POINT (-73.97748725945222 40.71127818255333),"Under Tree, Near Ballfield",John V. Lindsay East River Park,1,Active,40.71127818,-73.97748726
E Wheelchair,POINT (-73.88447299600256 40.67687559274815),"Near Ballfield, Out in Open",Sperandeo Brothers Playground,3,Active,40.67687559,-73.884473
C,POINT (-73.97892180858106 40.576060669346035),In Playground,Luna Park,3,Active,40.57606067,-73.97892181
C,POINT (-73.93552933115146 40.67397216267848),"In Playground, Under Tree",St. John's Recreation Center,3,Active,40.67397216,-73.93552933
C,POINT (-73.8617093569884 40.74853188246131),Near Ballfield,Park Of The Americas,4,Active,40.74853188,-73.86170936
